"Time stamp","Electricity from grid (year 1 hourly) | (kWh)","Electricity from system to load (year 1 hourly) | (kWh)","System power generated | (kW)","TOU period for demand charges (year 1 hourly)","Air temperature | ('C)","Wind speed | (m/s)","Wind direction | (deg)","TOU period for energy charges (year 1 hourly)","Electricity load (year 1) | (kW)","Bill load (year 1) | (kWh)","Demand charge with system (year 1 hourly) | ($)","Demand charge without system (year 1 hourly) | ($)","Electricity peak from grid per TOU period (year 1 hourly) | (kW)","Electricity peak from system to load (year 1 hourly) | (kW)","Electricity sales/purchases with system (year 1 hourly) | ($)","Electricity sales/purchases without system (year 1 hourly) | ($)","Electricity to grid (year 1 hourly) | (kWh)","Electricity to/from grid (year 1 hourly) | (kWh)","Electricity to/from grid peak (year 1 hourly) | (kW)","Energy charge with system (year 1 hourly) | ($)","Energy charge without system (year 1 hourly) | ($)","Lifetime electricity load | (kW)","Pressure | (atm)"
"Feb 13, 05:00 pm",1.34203,0,0,1,-0.619,2.87007,91,3,1.34203,1.34203,0,0,0,0,0,0,0,-1.34203,-1.34203,0,0,0,0.76028
"Feb 13, 06:00 pm",1.56714,0.0482756,0.0482756,1,-0.479,3.87464,89,3,1.61542,1.61542,0,0,0,0.0482756,0,0,0,-1.56714,-1.56714,0,0,0,0.761169
"Feb 13, 07:00 pm",1.25182,0.433991,0.433991,1,-1.719,6.80216,102,3,1.68581,1.68581,0,0,0,0.433991,0,0,0,-1.25182,-1.25182,0,0,0,0.761269
"Feb 13, 08:00 pm",0.0919657,1.52424,1.52424,1,-3.419,9.51001,103,1,1.61621,1.61621,0,0,0,1.52424,0,0,0,-0.0919657,-0.0919657,0,0,0,0.760483
"Feb 13, 09:00 pm",0,1.46497,1.98359,1,-5.059,10.6574,103,1,1.46497,1.46497,0,0,0,1.46497,0,0,0.518617,0.518617,0.518617,0,0,0,0.759202
"Feb 13, 10:00 pm",0,1.18255,2.07937,1,-6.359,11.0308,100,1,1.18255,1.18255,0,0,0,1.18255,0,0,0.896823,0.896823,0.896823,0,0,0,0.757623
"Feb 13, 11:00 pm",0,0.912661,2.00707,1,-7.659,10.7055,91,1,0.912661,0.912661,0,0,0,0.912661,0,0,1.0944,1.0944,1.0944,0,0,0,0.757329
"Feb 14, 12:00 am",0,0.638291,1.90532,1,-8.859,10.4183,96,1,0.638291,0.638291,0,0,0,0.638291,0,0,1.26703,1.26703,1.26703,0,0,0,0.754863
"Feb 14, 01:00 am",0,0.543873,1.73862,1,-9.699,9.95949,97,1,0.543873,0.543873,0,0,0,0.543873,0,0,1.19475,1.19475,1.19475,0,0,0,0.755655
"Feb 14, 02:00 am",0,0.509099,1.1886,1,-10.159,8.85945,97,1,0.509099,0.509099,0,0,0,0.509099,0,0,0.679506,0.679506,0.679506,0,0,0,0.754372
"Feb 14, 03:00 am",0,0.506838,0.778205,1,-10.259,7.93092,101,1,0.506838,0.506838,0,0,0,0.506838,0,0,0.271367,0.271367,0.271367,0,0,0,0.754865
"Feb 14, 04:00 am",0,0.512537,0.568012,1,-10.419,7.31923,97,1,0.512537,0.512537,0,0,0,0.512537,0,0,0.0554755,0.0554755,0.0554755,0,0,0,0.754668
"Feb 14, 05:00 am",0.208267,0.363853,0.363853,1,-11.539,6.43886,67,1,0.57212,0.57212,0,0,0,0.363853,0,0,0,-0.208267,-0.208267,0,0,0,0.755164
"Feb 14, 06:00 am",0.528991,0.236728,0.236728,1,-12.659,5.56778,76,1,0.765719,0.765719,0,0,0,0.236728,0,0,0,-0.528991,-0.528991,0,0,0,0.75566
"Feb 14, 07:00 am",0.843053,0.164707,0.164707,1,-12.899,4.99411,75,1,1.00776,1.00776,0,0,0,0.164707,0,0,0,-0.843053,-0.843053,0,0,0,0.75566
"Feb 14, 08:00 am",0.908456,0.0246481,0.0246481,1,-12.759,3.51134,87,1,0.933104,0.933104,0,0,0,0.0246481,0,0,0,-0.908456,-0.908456,0,0,0,0.75566
"Feb 14, 09:00 am",0.80968,0,0,1,-11.559,1.8655,118,1,0.80968,0.80968,0,0,0,0,0,0,0,-0.80968,-0.80968,0,0,0,0.753979
"Feb 14, 10:00 am",0.79761,0,0,1,-9.459,0.65056,302,2,0.79761,0.79761,0,0,0,0,0,0,0,-0.79761,-0.79761,0,0,0,0.754963
"Feb 14, 11:00 am",0.799305,0,0,1,-9.019,2.71715,301,2,0.799305,0.799305,0,0,0,0,0,0,0,-0.799305,-0.799305,0,0,0,0.753776
"Feb 14, 12:00 pm",0.668723,0.115703,0.115703,1,-8.459,4.59194,300,2,0.784426,0.784426,0,0,0,0.115703,0,0,0,-0.668723,-0.668723,0,0,0,0.752986
"Feb 14, 01:00 pm",0.539082,0.22265,0.22265,1,-7.459,5.51033,276,2,0.761732,0.761732,0,0,0,0.22265,0,0,0,-0.539082,-0.539082,0,0,0,0.753181
"Feb 14, 02:00 pm",0.0163176,0.744922,0.744922,1,-6.259,7.88361,270,2,0.76124,0.76124,0,0,0,0.744922,0,0,0,-0.0163176,-0.0163176,0,0,0,0.754365
"Feb 14, 03:00 pm",0,0.808324,1.45899,1,-5.659,9.39511,268,3,0.808324,0.808324,0,0,0,0.808324,0,0,0.650668,0.650668,0.650668,0,0,0,0.753771
"Feb 14, 04:00 pm",0,0.990474,1.77058,1,-5.459,10.1031,264,3,0.990474,0.990474,0,0,0,0.990474,0,0,0.78011,0.78011,0.78011,0,0,0,0.754561
